,Size,Model,Compress Success,Time to Compress,File Size Change,Decompress Success,Time to Decompress
0,97,hific-lo,Y,2.230529546737671,11195,Y,3.1053194999694824
0,97,hific-mi,Y,2.2142691612243652,10931,Y,2.900068521499634
0,97,hific-hi,Y,1.7470908164978027,10875,Y,2.533925771713257
0,97,mbt2018-mean-mse-1,Y,0.7023913860321045,11391,Y,0.3245213031768799
0,97,mbt2018-mean-mse-2,Y,0.6049423217773438,11265,Y,0.3364834785461426
0,97,mbt2018-mean-mse-3,Y,0.6096236705780029,10981,Y,0.34926319122314453
0,97,mbt2018-mean-mse-4,Y,0.7021849155426025,10859,Y,0.3329646587371826
0,97,mbt2018-mean-mse-5,Y,0.5965313911437988,10735,Y,0.320446252822876
0,97,mbt2018-mean-mse-6,Y,0.60247802734375,10034,Y,0.32216668128967285
0,97,mbt2018-mean-mse-7,Y,0.6001300811767578,9619,Y,0.3960590362548828
0,97,mbt2018-mean-mse-8,Y,0.5978670120239258,8675,Y,0.34659385681152344
0,97,mbt2018-mean-msssim-1,Y,0.6010591983795166,11154,Y,0.32605862617492676
0,97,mbt2018-mean-msssim-2,Y,0.6054587364196777,11094,Y,0.32454943656921387
0,97,mbt2018-mean-msssim-3,Y,0.6138491630554199,10930,Y,0.3323531150817871
0,97,mbt2018-mean-msssim-4,Y,0.626075267791748,10744,Y,0.32259631156921387
0,97,mbt2018-mean-msssim-5,Y,0.6027941703796387,10418,Y,0.3184230327606201
0,97,mbt2018-mean-msssim-6,Y,0.6729507446289062,10306,Y,0.31938648223876953
0,97,mbt2018-mean-msssim-7,Y,0.6100590229034424,10054,Y,0.3476848602294922
0,97,mbt2018-mean-msssim-8,Y,0.6033203601837158,9696,Y,0.3224797248840332
0,136,hific-lo,Y,1.5350844860076904,23801,Y,2.345186710357666
0,136,hific-mi,Y,1.7342314720153809,23295,Y,2.6592605113983154
0,136,hific-hi,Y,1.5300562381744385,23098,Y,2.5581469535827637
0,136,mbt2018-mean-mse-1,Y,0.6487514972686768,24085,Y,0.4908711910247803
0,136,mbt2018-mean-mse-2,Y,0.6174728870391846,23961,Y,0.3560621738433838
0,136,mbt2018-mean-mse-3,Y,0.6200900077819824,23433,Y,0.3543879985809326
0,136,mbt2018-mean-mse-4,Y,0.6142771244049072,23257,Y,0.377765417098999
0,136,mbt2018-mean-mse-5,Y,0.6329190731048584,23071,Y,0.35054898262023926
0,136,mbt2018-mean-mse-6,Y,0.6185016632080078,22297,Y,0.3544182777404785
0,136,mbt2018-mean-mse-7,Y,0.612760066986084,21451,Y,0.34871673583984375
